#,Fecha del siniestro,Entidad Federativa,Municipio,Grupo de siniestro,Tipo de siniestro
8624,06-03-2023,Jalisco,Tlajomulco De Zúñiga ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8625,06-03-2023,Jalisco,Zapotiltic ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8626,06-03-2023,Coahuila de Zaragoza,Francisco I. Madero ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8627,07-03-2023,Jalisco,Tlajomulco De Zúñiga ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8628,07-03-2023,Zacatecas,Villa De Cos ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8629,09-03-2023,Jalisco,Magdalena ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8630,09-03-2023,Guanajuato,Pénjamo ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8631,10-03-2023,Jalisco,Lagos De Moreno ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8632,10-03-2023,Colima,Cuauhtémoc ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8633,10-03-2023,Coahuila de Zaragoza,Frontera ,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8634,11-03-2023,Jalisco,Tequila ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8635,11-03-2023,Guanajuato,Celaya ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8636,11-03-2023,Hidalgo,Atitalaquia ,"Grupo III. Muerte, lesión y otros",Persona Arrollada
8637,12-03-2023,Jalisco,San Pedro Tlaquepaque ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
8638,12-03-2023,Michoacán de Ocampo,José Sixto Verduzco,"GRUPO II. Equipo ferroviario, infraestructura y operación",Descarrilamiento
8639,12-03-2023,Coahuila de Zaragoza,Torreón ,"Grupo III. Muerte, lesión y otros",Cadáver sobre la vía/en Derecho de Vía
8640,15-03-2023,Durango,Gómez Palacio ,Grupo I. Cruces a Nivel,Arrollamiento de Vehículo
